ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
932677,2014-03-18,2014-03-17,Southwest,37,M,H,3800    DENKER                       AV,34.0174,-118.3045,Assault,Bodily Harm,Violent Crimes,0.990070129
932795,2014-08-16,2014-08-16,West Valley,27,M,H,6600    HAYVENHURST                  AV,34.1903,-118.4924,Assault,Bodily Harm,Violent Crimes,0.99096181
933023,2014-08-12,2014-08-11,Southeast,31,F,H,8700    DENVER                       AV,33.9587,-118.2839,Theft,Property Crime,Non-Violent Crimes,0.990786667
933055,2014-05-05,2014-04-23,Topanga,29,M,W,7500    FALLBROOK                    AV,34.2067,-118.6234,Theft,Property Crime,Non-Violent Crimes,0.995865137
933180,2014-08-10,2014-08-10,N Hollywood,16,M,H,CLYBOURN                     AV,34.1849,-118.36,Battery Crime,Bodily Harm,Violent Crimes,0.999392496
933229,2014-11-12,2014-11-11,Southwest,60,M,W,2600    PORTLAND                     ST,34.0309,-118.2821,Theft,Property Crime,Non-Violent Crimes,0.991009762
933628,2014-06-30,2014-06-29,Foothill,24,F,O,9700    PALI                         AV,34.2433,-118.2703,Theft,Property Crime,Non-Violent Crimes,0.992016153
934145,2014-01-06,2014-01-05,Mission,40,F,H,9300    SYLMAR                       AV,34.239,-118.446,Battery Crime,Bodily Harm,Violent Crimes,0.99789679
934177,2014-10-26,2014-10-26,Pacific,22,F,W,12000    MARSHALL                     ST,33.992,-118.4138,Assault,Bodily Harm,Violent Crimes,0.997846496
934279,2014-12-14,2014-12-14,Central,21,M,W,800 S  FIGUEROA                     ST,34.0479,-118.2612,Battery Crime,Bodily Harm,Violent Crimes,0.99976951
934495,2014-09-01,2014-08-30,Wilshire,23,M,A,6TH                          ST,34.0649,-118.3514,Theft,Property Crime,Non-Violent Crimes,0.998612898
934665,2014-05-24,2014-05-24,West LA,80,F,W,500    RADCLIFFE                    AV,34.0385,-118.5312,Battery Crime,Bodily Harm,Violent Crimes,0.996368266
934905,2014-09-20,2014-09-13,Harbor,50,F,W,1100    MCDONALD                     AV,33.7845,-118.2714,Theft,Property Crime,Non-Violent Crimes,0.999667585
934907,2014-05-14,2014-05-14,Rampart,24,F,K,300 S  WESTLAKE                     AV,34.0625,-118.2714,Theft,Property Crime,Non-Violent Crimes,0.997463297
935119,2014-01-29,2014-01-29,Van Nuys,53,M,H,14400    VICTORY                      BL,34.1867,-118.4465,Battery Crime,Bodily Harm,Violent Crimes,0.994136148
935135,2014-01-20,2014-01-19,77th Street,31,F,H,7300    STANFORD                     AV,33.9739,-118.263,Theft,Property Crime,Non-Violent Crimes,0.997990307
935157,2014-02-26,2014-02-14,77th Street,68,M,H,7700    MCKINLEY                     AV,33.9694,-118.2608,Theft,Property Crime,Non-Violent Crimes,0.990208689
935220,2014-08-13,2014-08-13,Olympic,61,M,B,1600 S  HARVARD                      BL,34.0436,-118.3043,Battery Crime,Bodily Harm,Violent Crimes,0.990086586
935573,2014-09-30,2014-09-30,Central,57,M,W,800 E  6TH                          ST,34.0408,-118.2428,Theft,Property Crime,Non-Violent Crimes,0.998544982
