ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
559380,01/10/2012,29/09/2012,Hollenbeck,14,F,H,300 E  6TH                          ST,34.0312,-118.1997,Battery Crime,Bodily Harm,Violent Crimes,0.999663808
560322,10/09/2012,10/09/2012,Hollenbeck,66,M,W,4300    KEWANEE                      ST,34.078,-118.1902,Theft,Property Crime,Non-Violent Crimes,0.999961975
560861,18/09/2012,18/09/2012,Foothill,40,F,W,SUNLAND,34.2598,-118.3223,Assault,Bodily Harm,Violent Crimes,0.999786254
561539,20/05/2012,19/05/2012,Devonshire,71,F,W,17000    LASSEN                       ST,34.2503,-118.5024,Theft,Property Crime,Non-Violent Crimes,0.999383437
564522,21/05/2012,21/05/2012,Hollenbeck,24,F,W,VALLEY                       BL,34.0645,-118.1967,Theft,Property Crime,Non-Violent Crimes,0.999897307
565769,10/03/2012,10/03/2012,Foothill,25,M,H,GLENOAKS,34.2737,-118.4117,Assault,Bodily Harm,Violent Crimes,0.999489247
566426,05/08/2012,05/08/2012,N Hollywood,27,M,B,BARHAM,34.131,-118.3452,Battery Crime,Bodily Harm,Violent Crimes,0.999279393
567031,06/02/2012,06/02/2012,N Hollywood,30,M,H,RIVERSIDE                    DR,34.1577,-118.3877,Battery Crime,Bodily Harm,Violent Crimes,0.999971431
567296,26/07/2012,25/07/2012,Harbor,62,F,W,2200    STONEWOOD                    CT,33.7649,-118.3076,Assault,Bodily Harm,Violent Crimes,0.99989817
568847,04/05/2012,19/04/2012,Northeast,32,M,W,3100    RIVERSIDE                    DR,34.1128,-118.2679,Theft,Property Crime,Non-Violent Crimes,0.99997412
569695,30/11/2012,28/11/2012,Southeast,7,F,B,2000 E  115TH                        ST,33.9305,-118.2363,Assault,Bodily Harm,Violent Crimes,0.999300001
569945,20/01/2012,20/01/2012,Northeast,13,F,H,FLETCHER,34.1078,-118.2544,Assault,Bodily Harm,Violent Crimes,0.999437098
570735,11/12/2012,11/12/2012,Central,53,M,B,5TH,34.0454,-118.2466,Battery Crime,Bodily Harm,Violent Crimes,0.999914468
572752,22/06/2012,10/06/2012,Southwest,55,F,B,3800    DUBLIN                       AV,34.0173,-118.3224,Theft,Property Crime,Non-Violent Crimes,0.999341365
576026,24/05/2012,24/05/2012,Devonshire,30,M,O,12000    WOOD RANCH                   RD,34.2895,-118.5227,Theft,Property Crime,Non-Violent Crimes,0.999446625
580149,29/02/2012,07/02/2012,77th Street,43,F,H,800 W  81ST                         ST,33.9655,-118.2871,Theft,Property Crime,Non-Violent Crimes,0.999980839
581658,18/09/2012,18/09/2012,77th Street,32,M,B,WESTERN                      AV,33.9525,-118.1278,Assault,Bodily Harm,Violent Crimes,0.999002822
582136,09/12/2012,08/12/2012,West LA,28,M,W,1900    BELOIT                       AV,34.0431,-118.444,Theft,Property Crime,Non-Violent Crimes,0.999070173
587819,25/01/2012,24/01/2012,West Valley,57,M,W,7500    JAMIESON                     AV,34.2066,-118.5219,Theft,Property Crime,Non-Violent Crimes,0.999247056
588775,01/08/2012,01/08/2012,Southwest,20,F,H,2800    CRENSHAW                     BL,34.0312,-118.3351,Robbery,Robbery,Violent Crimes,0.999777209
590625,06/11/2012,06/11/2012,77th Street,24,F,H,62ND                         ST,33.9833,-118.298,Assault,Bodily Harm,Violent Crimes,0.999606753
596142,17/08/2012,01/05/2012,Olympic,47,F,H,100 N  MARIPOSA                     AV,34.0728,-118.2994,Assault,Bodily Harm,Violent Crimes,0.999024598
597058,21/08/2012,21/08/2012,Topanga,23,M,W,8900    HANNA                        AV,34.232,-118.607,Theft,Property Crime,Non-Violent Crimes,0.999512266
597850,31/07/2012,29/07/2012,Southwest,39,F,H,1500 W  37TH                         PL,0,0,Assault,Bodily Harm,Violent Crimes,0.999791675
598198,31/07/2012,31/07/2012,N Hollywood,26,M,W,6500    BONNER                       AV,0,0,Battery Crime,Bodily Harm,Violent Crimes,0.999189125
598373,28/07/2012,28/07/2012,Foothill,24,M,H,13700    HOYT                         ST,34.258,-118.4313,Battery Crime,Bodily Harm,Violent Crimes,0.999799094
601577,24/01/2012,23/01/2012,Southwest,17,F,H,4000    SANTO TOMAS                  DR,34.0093,-118.3437,Battery Crime,Bodily Harm,Violent Crimes,0.999536558
604950,15/10/2012,14/10/2012,Southeast,20,F,B,9200    MAIE                         AV,33.9533,-118.2446,Assault,Bodily Harm,Violent Crimes,0.999519084
606144,26/07/2012,28/06/2012,Northeast,35,F,W,4000    LOS FELIZ                    BL,34.1134,-118.2791,Theft,Property Crime,Non-Violent Crimes,0.999713178
606163,15/08/2012,15/08/2012,Harbor,34,M,H,1000 E  ROBIDOUX                     ST,33.7883,-118.2508,Theft,Property Crime,Non-Violent Crimes,0.99931474
606792,16/04/2012,15/04/2012,Foothill,29,M,H,9700    HADDON                       AV,34.2463,-118.4131,Theft,Property Crime,Non-Violent Crimes,0.999285135
607343,01/02/2012,01/02/2012,Pacific,49,M,W,HAMPTON,33.995,-118.4754,Assault,Bodily Harm,Violent Crimes,0.999636012
609727,13/09/2012,13/09/2012,Van Nuys,37,M,W,14900    VALLEY VISTA                 BL,34.1468,-118.4593,Theft,Property Crime,Non-Violent Crimes,0.999938004
611018,22/04/2012,22/04/2012,Van Nuys,33,F,H,14600    DELANO                       ST,34.1827,-118.4509,Assault,Bodily Harm,Violent Crimes,0.999088088
611293,24/09/2012,22/09/2012,77th Street,28,M,H,900 W  46TH                         ST,34.0017,-118.2896,Theft,Property Crime,Non-Violent Crimes,0.999132798
611544,06/04/2013,06/04/2013,77th Street,51,F,B,68TH                         ST,33.9779,-118.2937,Assault,Bodily Harm,Violent Crimes,0.999784708
611991,20/02/2013,20/02/2013,Rampart,28,F,H,200    GLENDALE                     BL,34.0644,-118.26,Theft,Property Crime,Non-Violent Crimes,0.999660693
612847,26/05/2013,26/05/2013,Southwest,33,F,H,5500    GEER                         AV,34.0302,-118.3635,Assault,Bodily Harm,Violent Crimes,0.999596481
614862,27/10/2013,21/10/2013,Hollenbeck,29,M,H,2700    BUDAU                        AV,34.0774,-118.1772,Theft,Property Crime,Non-Violent Crimes,0.999180392
617925,24/10/2013,24/10/2013,Mission,52,F,H,15100    ROSCOE                       BL,34.2215,-118.4617,Battery Crime,Bodily Harm,Violent Crimes,0.999924038
619593,26/01/2013,26/01/2013,West LA,18,F,O,11600    MONTANA                      AV,34.057,-118.4646,Assault,Bodily Harm,Violent Crimes,0.999124666
620764,07/03/2013,06/03/2013,Devonshire,36,F,H,8700    AQUEDUCT                     AV,34.2283,-118.4742,Theft,Property Crime,Non-Violent Crimes,0.999230095
625948,15/02/2013,14/02/2013,77th Street,58,M,B,4000 W  60TH                         ST,33.9853,-118.344,Theft,Property Crime,Non-Violent Crimes,0.999359699
626649,08/12/2013,07/12/2013,Newton,31,M,H,71ST                         ST,33.9756,-118.2783,Theft,Property Crime,Non-Violent Crimes,0.999849825
631780,18/08/2014,29/07/2013,West LA,57,F,W,2400    CORINTH                      AV,34.0343,-118.4392,Theft,Property Crime,Non-Violent Crimes,0.999505635
632094,22/06/2013,22/06/2013,Southwest,26,F,H,600 W  40TH                         PL,34.0106,-118.2842,Theft,Property Crime,Non-Violent Crimes,0.99909125
632717,17/12/2013,16/12/2013,Mission,22,F,B,8500    WILLIS                       AV,34.2247,-118.4553,Assault,Bodily Harm,Violent Crimes,0.999040036
632802,24/08/2013,24/08/2013,77th Street,33,M,B,6700 S  VAN NESS                     AV,33.9782,-118.3177,Assault,Bodily Harm,Violent Crimes,0.999351451
633289,16/04/2013,15/04/2013,Southeast,24,M,H,11200    SUCCESS                      AV,33.9311,-118.2493,Robbery,Robbery,Violent Crimes,0.999236658
